,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
,7,7,3,1,8,1,0,,Test 1
,7,7,3,1,8,1,1,,Test 2
,7,7,3,1,8,2,0,,Test 3
,7,7,3,1,8,2,1,,Test 4
,7,7,3,1,16,1,0,,Test 5
,7,7,3,1,16,1,1,,Test 6
,7,7,3,1,16,2,0,,Test 7
,7,7,3,1,16,2,1,,Test 8
,7,7,3,1,32,1,0,,Test 9
,7,7,3,1,32,1,1,,Test 10
,7,7,3,1,32,2,0,,Test 11
,7,7,3,1,32,2,1,,Test 12
,7,7,3,1,64,1,0,,Test 13
,7,7,3,1,64,1,1,,Test 14
,7,7,3,1,64,2,0,,Test 15
,7,7,3,1,64,2,1,,Test 16
,7,7,3,1,128,1,0,,Test 17
,7,7,3,1,128,1,1,,Test 18
,7,7,3,1,128,2,0,,Test 19
,7,7,3,1,128,2,1,,Test 20
,7,7,3,1,256,1,0,,Test 21
,7,7,3,1,256,1,1,,Test 22
,7,7,3,1,256,2,0,,Test 23
,7,7,3,1,256,2,1,,Test 24
,7,7,3,1,512,1,0,,Test 25
,7,7,3,1,512,1,1,,Test 26
,7,7,3,1,512,2,0,,Test 27
,7,7,3,1,512,2,1,,Test 28
,7,7,3,1,1024,1,0,,Test 29
,7,7,3,1,1024,1,1,,Test 30
,7,7,3,1,1024,2,0,,Test 31
,7,7,3,1,1024,2,1,,Test 32
,7,7,3,3,8,1,0,,Test 33
,7,7,3,3,8,1,1,,Test 34
,7,7,3,3,8,2,0,,Test 35
,7,7,3,3,8,2,1,,Test 36
,7,7,3,3,16,1,0,,Test 37
,7,7,3,3,16,1,1,,Test 38
,7,7,3,3,16,2,0,,Test 39
,7,7,3,3,16,2,1,,Test 40
,7,7,3,3,32,1,0,,Test 41
,7,7,3,3,32,1,1,,Test 42
,7,7,3,3,32,2,0,,Test 43
,7,7,3,3,32,2,1,,Test 44
,7,7,3,3,64,1,0,,Test 45
,7,7,3,3,64,1,1,,Test 46
,7,7,3,3,64,2,0,,Test 47
,7,7,3,3,64,2,1,,Test 48
,7,7,3,3,128,1,0,,Test 49
,7,7,3,3,128,1,1,,Test 50
,7,7,3,3,128,2,0,,Test 51
,7,7,3,3,128,2,1,,Test 52
,7,7,3,3,256,1,0,,Test 53
,7,7,3,3,256,1,1,,Test 54
,7,7,3,3,256,2,0,,Test 55
,7,7,3,3,256,2,1,,Test 56
,7,7,3,3,512,1,0,,Test 57
,7,7,3,3,512,1,1,,Test 58
,7,7,3,3,512,2,0,,Test 59
,7,7,3,3,512,2,1,,Test 60
,7,7,3,3,1024,1,0,,Test 61
,7,7,3,3,1024,1,1,,Test 62
,7,7,3,3,1024,2,0,,Test 63
,7,7,3,3,1024,2,1,,Test 64
,7,7,3,5,8,1,0,,Test 65
,7,7,3,5,8,1,1,,Test 66
,7,7,3,5,8,2,0,,Test 67
,7,7,3,5,8,2,1,,Test 68
,7,7,3,5,16,1,0,,Test 69
,7,7,3,5,16,1,1,,Test 70
,7,7,3,5,16,2,0,,Test 71
,7,7,3,5,16,2,1,,Test 72
,7,7,3,5,32,1,0,,Test 73
,7,7,3,5,32,1,1,,Test 74
,7,7,3,5,32,2,0,,Test 75
,7,7,3,5,32,2,1,,Test 76
,7,7,3,5,64,1,0,,Test 77
,7,7,3,5,64,1,1,,Test 78
,7,7,3,5,64,2,0,,Test 79
,7,7,3,5,64,2,1,,Test 80
,7,7,3,5,128,1,0,,Test 81
,7,7,3,5,128,1,1,,Test 82
,7,7,3,5,128,2,0,,Test 83
,7,7,3,5,128,2,1,,Test 84
,7,7,3,5,256,1,0,,Test 85
,7,7,3,5,256,1,1,,Test 86
,7,7,3,5,256,2,0,,Test 87
,7,7,3,5,256,2,1,,Test 88
,7,7,3,5,512,1,0,,Test 89
,7,7,3,5,512,1,1,,Test 90
,7,7,3,5,512,2,0,,Test 91
,7,7,3,5,512,2,1,,Test 92
,7,7,3,5,1024,1,0,,Test 93
,7,7,3,5,1024,1,1,,Test 94
,7,7,3,5,1024,2,0,,Test 95
,7,7,3,5,1024,2,1,,Test 96
,7,7,3,7,8,1,0,,Test 97
,7,7,3,7,8,1,1,,Test 98
,7,7,3,7,8,2,0,,Test 99
,7,7,3,7,8,2,1,,Test 100
,7,7,3,7,16,1,0,,Test 101
,7,7,3,7,16,1,1,,Test 102
,7,7,3,7,16,2,0,,Test 103
,7,7,3,7,16,2,1,,Test 104
,7,7,3,7,32,1,0,,Test 105
,7,7,3,7,32,1,1,,Test 106
,7,7,3,7,32,2,0,,Test 107
,7,7,3,7,32,2,1,,Test 108
,7,7,3,7,64,1,0,,Test 109
,7,7,3,7,64,1,1,,Test 110
,7,7,3,7,64,2,0,,Test 111
,7,7,3,7,64,2,1,,Test 112
,7,7,3,7,128,1,0,,Test 113
,7,7,3,7,128,1,1,,Test 114
,7,7,3,7,128,2,0,,Test 115
,7,7,3,7,128,2,1,,Test 116
,7,7,3,7,256,1,0,,Test 117
,7,7,3,7,256,1,1,,Test 118
,7,7,3,7,256,2,0,,Test 119
,7,7,3,7,256,2,1,,Test 120
,7,7,3,7,512,1,0,,Test 121
,7,7,3,7,512,1,1,,Test 122
,7,7,3,7,512,2,0,,Test 123
,7,7,3,7,512,2,1,,Test 124
,7,7,3,7,1024,1,0,,Test 125
,7,7,3,7,1024,1,1,,Test 126
,7,7,3,7,1024,2,0,,Test 127
,7,7,3,7,1024,2,1,,Test 128
,7,7,8,1,8,1,0,,Test 129
,7,7,8,1,8,1,1,,Test 130
,7,7,8,1,8,2,0,,Test 131
,7,7,8,1,8,2,1,,Test 132
,7,7,8,1,16,1,0,,Test 133
,7,7,8,1,16,1,1,,Test 134
,7,7,8,1,16,2,0,,Test 135
,7,7,8,1,16,2,1,,Test 136
,7,7,8,1,32,1,0,,Test 137
,7,7,8,1,32,1,1,,Test 138
,7,7,8,1,32,2,0,,Test 139
,7,7,8,1,32,2,1,,Test 140
,7,7,8,1,64,1,0,,Test 141
,7,7,8,1,64,1,1,,Test 142
,7,7,8,1,64,2,0,,Test 143
,7,7,8,1,64,2,1,,Test 144
,7,7,8,1,128,1,0,,Test 145
,7,7,8,1,128,1,1,,Test 146
,7,7,8,1,128,2,0,,Test 147
,7,7,8,1,128,2,1,,Test 148
,7,7,8,1,256,1,0,,Test 149
,7,7,8,1,256,1,1,,Test 150
,7,7,8,1,256,2,0,,Test 151
,7,7,8,1,256,2,1,,Test 152
,7,7,8,1,512,1,0,,Test 153
,7,7,8,1,512,1,1,,Test 154
,7,7,8,1,512,2,0,,Test 155
,7,7,8,1,512,2,1,,Test 156
,7,7,8,1,1024,1,0,,Test 157
,7,7,8,1,1024,1,1,,Test 158
,7,7,8,1,1024,2,0,,Test 159
,7,7,8,1,1024,2,1,,Test 160
,7,7,8,3,8,1,0,,Test 161
,7,7,8,3,8,1,1,,Test 162
,7,7,8,3,8,2,0,,Test 163
,7,7,8,3,8,2,1,,Test 164
,7,7,8,3,16,1,0,,Test 165
,7,7,8,3,16,1,1,,Test 166
,7,7,8,3,16,2,0,,Test 167
,7,7,8,3,16,2,1,,Test 168
,7,7,8,3,32,1,0,,Test 169
,7,7,8,3,32,1,1,,Test 170
,7,7,8,3,32,2,0,,Test 171
,7,7,8,3,32,2,1,,Test 172
,7,7,8,3,64,1,0,,Test 173
,7,7,8,3,64,1,1,,Test 174
,7,7,8,3,64,2,0,,Test 175
,7,7,8,3,64,2,1,,Test 176
,7,7,8,3,128,1,0,,Test 177
,7,7,8,3,128,1,1,,Test 178
,7,7,8,3,128,2,0,,Test 179
,7,7,8,3,128,2,1,,Test 180
,7,7,8,3,256,1,0,,Test 181
,7,7,8,3,256,1,1,,Test 182
,7,7,8,3,256,2,0,,Test 183
,7,7,8,3,256,2,1,,Test 184
,7,7,8,3,512,1,0,,Test 185
,7,7,8,3,512,1,1,,Test 186
,7,7,8,3,512,2,0,,Test 187
,7,7,8,3,512,2,1,,Test 188
,7,7,8,3,1024,1,0,,Test 189
,7,7,8,3,1024,1,1,,Test 190
,7,7,8,3,1024,2,0,,Test 191
,7,7,8,3,1024,2,1,,Test 192
,7,7,8,5,8,1,0,,Test 193
,7,7,8,5,8,1,1,,Test 194
,7,7,8,5,8,2,0,,Test 195
,7,7,8,5,8,2,1,,Test 196
,7,7,8,5,16,1,0,,Test 197
,7,7,8,5,16,1,1,,Test 198
,7,7,8,5,16,2,0,,Test 199
,7,7,8,5,16,2,1,,Test 200
,7,7,8,5,32,1,0,,Test 201
,7,7,8,5,32,1,1,,Test 202
,7,7,8,5,32,2,0,,Test 203
,7,7,8,5,32,2,1,,Test 204
,7,7,8,5,64,1,0,,Test 205
,7,7,8,5,64,1,1,,Test 206
,7,7,8,5,64,2,0,,Test 207
,7,7,8,5,64,2,1,,Test 208
,7,7,8,5,128,1,0,,Test 209
,7,7,8,5,128,1,1,,Test 210
,7,7,8,5,128,2,0,,Test 211
,7,7,8,5,128,2,1,,Test 212
,7,7,8,5,256,1,0,,Test 213
,7,7,8,5,256,1,1,,Test 214
,7,7,8,5,256,2,0,,Test 215
,7,7,8,5,256,2,1,,Test 216
,7,7,8,5,512,1,0,,Test 217
,7,7,8,5,512,1,1,,Test 218
,7,7,8,5,512,2,0,,Test 219
,7,7,8,5,512,2,1,,Test 220
,7,7,8,5,1024,1,0,,Test 221
,7,7,8,5,1024,1,1,,Test 222
,7,7,8,5,1024,2,0,,Test 223
,7,7,8,5,1024,2,1,,Test 224
,7,7,8,7,8,1,0,,Test 225
,7,7,8,7,8,1,1,,Test 226
,7,7,8,7,8,2,0,,Test 227
,7,7,8,7,8,2,1,,Test 228
,7,7,8,7,16,1,0,,Test 229
,7,7,8,7,16,1,1,,Test 230
,7,7,8,7,16,2,0,,Test 231
,7,7,8,7,16,2,1,,Test 232
,7,7,8,7,32,1,0,,Test 233
,7,7,8,7,32,1,1,,Test 234
,7,7,8,7,32,2,0,,Test 235
,7,7,8,7,32,2,1,,Test 236
,7,7,8,7,64,1,0,,Test 237
,7,7,8,7,64,1,1,,Test 238
,7,7,8,7,64,2,0,,Test 239
,7,7,8,7,64,2,1,,Test 240
,7,7,8,7,128,1,0,,Test 241
,7,7,8,7,128,1,1,,Test 242
,7,7,8,7,128,2,0,,Test 243
,7,7,8,7,128,2,1,,Test 244
