[['112-14-14-3-224-1-1'], [[['conv-armcl'], ['6989.0']], [['directconv-armcl'], ['10289.0']]]]
[['128-14-14-3-256-1-1'], [[['conv-armcl'], ['9500.0']], [['directconv-armcl'], ['13344.0']]]]
[['128-28-28-3-192-1-1'], [[['conv-armcl'], ['18548.0']], [['directconv-armcl'], ['37480.0']]]]
[['144-14-14-3-288-1-1'], [[['conv-armcl'], ['11351.0']], [['directconv-armcl'], ['16142.0']]]]
[['16-14-14-5-48-1-2'], [[['directconv-armcl'], ['1287.0']], [['conv-armcl'], ['2264.0']]]]
[['16-28-28-5-32-1-2'], [[['directconv-armcl'], ['2306.0']], [['conv-armcl'], ['2825.0']]]]
[['160-14-14-3-320-1-1'], [[['conv-armcl'], ['13106.0']], [['directconv-armcl'], ['19965.0']]]]
[['160-7-7-3-320-1-1'], [[['directconv-armcl'], ['6228.0']], [['conv-armcl'], ['7245.0']]]]
[['192-28-28-1-16-1-0'], [[['directconv-armcl'], ['1318.0']], [['conv-armcl'], ['3030.0']]]]
[['192-28-28-1-32-1-0'], [[['directconv-armcl'], ['2066.0']], [['conv-armcl'], ['3094.0']]]]
[['192-28-28-1-64-1-0'], [[['directconv-armcl'], ['3337.0']], [['conv-armcl'], ['3623.0']]]]
[['192-28-28-1-96-1-0'], [[['conv-armcl'], ['4266.0']], [['directconv-armcl'], ['4660.0']]]]
[['192-7-7-3-348-1-1'], [[['directconv-armcl'], ['8224.0']], [['conv-armcl'], ['9767.0']]]]
[['24-14-14-5-64-1-2'], [[['directconv-armcl'], ['1827.0']], [['conv-armcl'], ['2623.0']]]]
[['256-28-28-1-128-1-0'], [[['conv-armcl'], ['5648.0']], [['directconv-armcl'], ['8002.0']]]]
[['256-28-28-1-32-1-0'], [[['directconv-armcl'], ['2627.0']], [['conv-armcl'], ['3854.0']]]]
[['256-28-28-1-64-1-0'], [[['conv-armcl'], ['4340.0']], [['directconv-armcl'], ['4426.0']]]]
[['3-227-227-7-64-2-3'], [[['conv-armcl'], ['17093.0']]]]
[['32-14-14-5-128-1-2'], [[['directconv-armcl'], ['4248.0']], [['conv-armcl'], ['4443.0']]]]
[['32-14-14-5-64-1-2'], [[['directconv-armcl'], ['2286.0']], [['conv-armcl'], ['3175.0']]]]
[['32-28-28-5-96-1-2'], [[['conv-armcl'], ['7719.0']], [['directconv-armcl'], ['10505.0']]]]
[['32-7-7-5-128-1-2'], [[['directconv-armcl'], ['1489.0']], [['conv-armcl'], ['2802.0']]]]
[['48-7-7-5-128-1-2'], [[['directconv-armcl'], ['1998.0000000000002']], [['conv-armcl'], ['3442.0']]]]
[['480-14-14-1-192-1-0'], [[['conv-armcl'], ['3838.0']], [['directconv-armcl'], ['5222.0']]]]
[['480-14-14-1-64-1-0'], [[['directconv-armcl'], ['2350.0']], [['conv-armcl'], ['3023.0']]]]
[['480-14-14-1-96-1-0'], [[['conv-armcl'], ['3007.0']], [['directconv-armcl'], ['3201.0']]]]
[['512-14-14-1-112-1-0'], [[['directconv-armcl'], ['3748.0']], [['conv-armcl'], ['4054.9999999999995']]]]
[['512-14-14-1-128-1-0'], [[['conv-armcl'], ['4171.0']], [['directconv-armcl'], ['4188.0']]]]
[['512-14-14-1-144-1-0'], [[['conv-armcl'], ['4157.0']], [['directconv-armcl'], ['4783.0']]]]
[['512-14-14-1-160-1-0'], [[['conv-armcl'], ['4634.0']], [['directconv-armcl'], ['4685.0']]]]
[['512-14-14-1-24-1-0'], [[['directconv-armcl'], ['1575.0']], [['conv-armcl'], ['3031.0']]]]
[['512-14-14-1-32-1-0'], [[['directconv-armcl'], ['1587.0']], [['conv-armcl'], ['3300.0']]]]
[['512-14-14-1-64-1-0'], [[['directconv-armcl'], ['2350.0']], [['conv-armcl'], ['3453.0']]]]
[['528-14-14-1-128-1-0'], [[['conv-armcl'], ['3756.0']], [['directconv-armcl'], ['4337.0']]]]
[['528-14-14-1-160-1-0'], [[['conv-armcl'], ['4011.0']], [['directconv-armcl'], ['4932.0']]]]
[['528-14-14-1-256-1-0'], [[['conv-armcl'], ['4864.0']], [['directconv-armcl'], ['7724.0']]]]
[['528-14-14-1-32-1-0'], [[['directconv-armcl'], ['1626.0']], [['conv-armcl'], ['2833.0']]]]
[['64-57-57-1-64-1-0'], [[['conv-armcl'], ['3501.0']], [['directconv-armcl'], ['4589.0']]]]
[['64-57-57-3-192-1-1'], [[['conv-armcl'], ['32883.0']], [['directconv-armcl'], ['71130.0']]]]
[['832-7-7-1-128-1-0'], [[['directconv-armcl'], ['2036.0']], [['conv-armcl'], ['2643.0']]]]
[['832-7-7-1-160-1-0'], [[['directconv-armcl'], ['2772.0']], [['conv-armcl'], ['3313.0']]]]
[['832-7-7-1-192-1-0'], [[['directconv-armcl'], ['2851.0']], [['conv-armcl'], ['3496.0']]]]
[['832-7-7-1-256-1-0'], [[['directconv-armcl'], ['3624.0']], [['conv-armcl'], ['3788.0']]]]
[['832-7-7-1-32-1-0'], [[['directconv-armcl'], ['1306.0']], [['conv-armcl'], ['2281.0']]]]
[['832-7-7-1-384-1-0'], [[['conv-armcl'], ['5062.0']], [['directconv-armcl'], ['5231.0']]]]
[['832-7-7-1-48-1-0'], [[['directconv-armcl'], ['1306.0']], [['conv-armcl'], ['2357.0']]]]
[['96-14-14-3-208-1-1'], [[['conv-armcl'], ['6225.0']], [['directconv-armcl'], ['8463.0']]]]
[['96-28-28-3-128-1-1'], [[['conv-armcl'], ['10366.0']], [['directconv-armcl'], ['19143.0']]]]
