,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
ResNet-50,56,56,64,1,64,1,0,,test
ResNet-50,56,56,64,3,64,1,1,,test
ResNet-50,56,56,64,1,256,1,0,,test
ResNet-50,56,56,64,1,256,1,0,,test
ResNet-50,56,56,256,1,64,1,0,,test
ResNet-50,56,56,64,3,64,1,1,,test
ResNet-50,56,56,64,1,256,1,0,,test
ResNet-50,56,56,256,1,64,1,0,,test
ResNet-50,56,56,64,3,64,1,1,,test
ResNet-50,56,56,64,1,256,1,0,,test
ResNet-50,56,56,256,1,128,2,0,,test
ResNet-50,28,28,128,3,128,1,1,,test
ResNet-50,56,56,256,1,512,2,0,,test
ResNet-50,28,28,128,1,512,1,0,,test
ResNet-50,28,28,512,1,128,1,0,,test
ResNet-50,28,28,128,3,128,1,1,,test
ResNet-50,28,28,128,1,512,1,0,,test
ResNet-50,28,28,512,1,128,1,0,,test
ResNet-50,28,28,128,3,128,1,1,,test
ResNet-50,28,28,128,1,512,1,0,,test
ResNet-50,28,28,512,1,128,1,0,,test
ResNet-50,28,28,128,3,128,1,1,,test
ResNet-50,28,28,128,1,512,1,0,,test
ResNet-50,28,28,512,1,256,2,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,28,28,512,1,1024,2,0,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,256,1,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,256,1,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,256,1,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,256,1,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,256,1,0,,test
ResNet-50,14,14,256,3,256,1,1,,test
ResNet-50,14,14,256,1,1024,1,0,,test
ResNet-50,14,14,1024,1,512,2,0,,test
ResNet-50,7,7,512,3,512,1,1,,test
ResNet-50,14,14,1024,1,2048,2,0,,test
ResNet-50,7,7,512,1,2048,1,0,,test
ResNet-50,7,7,2048,1,512,1,0,,test
ResNet-50,7,7,512,3,512,1,1,,test
ResNet-50,7,7,512,1,2048,1,0,,test
ResNet-50,7,7,2048,1,512,1,0,,test
ResNet-50,7,7,512,3,512,1,1,,test
ResNet-50,7,7,512,1,2048,1,0,,test
