,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
FCN-16s,500,500,3,3,64,1,1,,test 
FCN-16s,500,500,64,3,64,1,1,,test 
FCN-16s,250,250,64,3,128,1,1,,test 
FCN-16s,250,250,128,3,128,1,1,,test 
FCN-16s,125,125,128,3,256,1,1,,test 
FCN-16s,125,125,256,3,256,1,1,,test 
FCN-16s,125,125,256,3,256,1,1,,test 
FCN-16s,63,63,256,3,512,1,1,,test 
FCN-16s,63,63,512,3,512,1,1,,test 
FCN-16s,63,63,512,3,512,1,1,,test 
FCN-16s,32,32,512,3,512,1,1,,test 
FCN-16s,32,32,512,3,512,1,1,,test 
FCN-16s,32,32,512,3,512,1,1,,test 
FCN-16s,16,16,512,7,4096,1,1,,test 
FCN-16s,10,10,4096,1,4096,1,0,,test 
FCN-16s,10,10,4096,1,21,1,0,,test 
FCN-16s,10,10,21,4,21,2,0,,test 
FCN-16s,32,32,512,1,21,1,0,,test 
